Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
78,01-17-2026 02:53:58,1768618438,FB,Y,-9,79,143.3,2281,2165,94,12:58,35.6,27.6,2.9,-1.1,1.7,0.4,18,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
77,01-17-2026 02:53:49,1768618429,FB,N,15,47,131.4,0,0,0,12:0,55.1,54.1,3.5,-3.5,1.8,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
76,01-17-2026 02:53:38,1768618418,FB,N,26,67,136.0,0,0,0,12:0,57.7,38.8,2.4,-2.8,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
75,01-17-2026 02:53:29,1768618409,FB,N,14,112,135.3,0,0,0,12:0,68.5,44.0,2.8,-1.3,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
74,01-17-2026 02:53:17,1768618397,FB,N,22,123,139.9,0,0,0,12:0,13.4,31.4,2.1,-2.0,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
73,01-17-2026 02:53:06,1768618386,FB,N,0,43,131.6,2215,2138,96,12:54,62.5,42.9,3.2,-3.6,1.8,0.5,15,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
72,01-17-2026 02:52:54,1768618374,FB,Y,-6,104,138.2,2273,2209,97,1:2,0.0,37.3,3.3,-3.7,1.7,0.5,13,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
71,01-17-2026 02:52:43,1768618363,FB,N,-35,43,138.8,2318,2142,92,1:18,0.0,27.1,4.0,-5.3,1.8,0.5,22,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
70,01-17-2026 02:52:33,1768618353,FB,Y,17,60,131.0,1555,1261,81,2:24,50.9,41.6,3.0,-2.4,1.7,0.6,-35,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
69,01-17-2026 02:52:24,1768618344,FB,Y,13,90,143.4,0,0,0,12:0,60.3,43.8,2.9,-1.9,1.8,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,齋藤士龍,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
