Game Pitch,Pitch Created At,PitchID,Pitch Type,Is Strike,PlateLocSide (CM),PlateLocHeight (CM),RelSpeed (KMH),SpinRate,TrueSpinRelease,Spin Efficiency,Spin Direction,InducedVertBreak (CM),HorzBreak (CM),HorzRelAngle,VertRelAngle,RelHeight (Meters),RelSide (Meters),Gyro Degree (deg),Right Hand Spin Direction,Right Hand Total Spin,Left Hand Spin Direction,Left Hand Total Spin,IntentType,Pitcher First Name,,Device Serial Number,Latitude,Longitude,VerticalSSWBreak (Meters),HorizontalSSWBreak (Meters),Flagged
55,01-18-2026 02:13:37,1768702417,FB,Y,22,84,115.4,1832,1641,89,12:24,63.3,34.8,2.4,-1.2,1.7,0.5,26,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
54,01-18-2026 02:13:29,1768702409,FB,Y,-13,60,114.0,1155,869,75,11:22,60.8,7.2,2.6,-1.5,1.8,0.5,-41,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
53,01-18-2026 02:13:22,1768702402,FB,N,26,73,115.5,0,0,0,12:0,57.7,32.5,2.3,-1.2,1.8,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
52,01-18-2026 02:13:14,1768702394,FB,Y,21,82,118.5,1883,1434,76,12:18,66.5,17.7,1.8,-1.0,1.7,0.6,40,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
51,01-18-2026 02:13:06,1768702386,FB,Y,-19,61,116.8,1817,1186,65,11:58,48.8,11.1,2.9,-1.4,1.8,0.5,49,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
50,01-18-2026 02:12:43,1768702363,FB,Y,-23,62,122.5,1890,1768,93,12:42,45.1,10.1,3.2,-1.3,1.7,0.6,20,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
49,01-18-2026 02:12:35,1768702355,FB,N,3,113,118.5,0,0,0,12:0,55.8,13.4,2.3,-0.2,1.7,0.5,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
48,01-18-2026 02:12:14,1768702334,FB,N,37,72,117.4,1889,1817,96,2:14,54.5,39.2,2.0,-0.6,1.8,0.6,15,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
47,01-18-2026 02:12:07,1768702327,FB,N,-5,116,117.6,0,0,0,12:0,64.7,24.5,3.0,0.0,1.8,0.6,0,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
46,01-18-2026 02:11:58,1768702318,FB,Y,13,74,115.5,1240,1019,82,12:22,55.1,30.5,2.7,-1.1,1.8,0.6,-34,0:0,0.00000,0:0,0.00000,high_intent,安田,,MTD-22119CB2427,--,--,0.00000,0.00000,FALSE
